epoch,train_loss,val_loss,val_rmse,epoch_secs
1,0.946233,0.752793,0.867612,4.0
2,0.674379,0.756380,0.869732,2.8
3,0.664223,0.675878,0.822104,2.8
4,0.614980,0.726417,0.852273,2.8
5,0.595413,0.643230,0.802087,2.9
6,0.562489,0.735079,0.857230,3.0
7,0.538739,0.738049,0.858990,3.0
8,0.512923,0.732507,0.855819,2.9
